AID,ระดับ,รายการงาน,ม.ค.69,ก.พ.69,มี.ค.69,เม.ย.69,พ.ค.69,มิ.ย.69,ก.ค.69,ส.ค.69,ก.ย.69,ต.ค.69,พ.ย.69,ธ.ค.69
A1-0,หมวดหลัก,1. การทบทวนการจัดวางระบบการควบคุมภายใน,25,50,62.5,75,87.5,100,,,,,,
A1-1,กิจกรรมย่อย,1.1 ชี้แจงแผนการจัดวางระบบการควบคุมภายในและการประเมินการควบคุมด้วยตนเอง ประจำปี,50,100,100,100,100,100,,,,,,
A1-2,กิจกรรมย่อย,1.2 กำกับ ติดตามให้รายงานผลการทบทวนฯ และคู่มือการควบคุมภายในของหน่วยงาน เสนอสายงาน,,,50,100,100,100,,,,,,
A1-3,กิจกรรมย่อย,1.3 สรุปผลการทบทวนการจัดวางฯ ของทุกหน่วยงาน เสนอ ผวก. ทราบ,,,,,50,100,,,,,,
A2-0,หมวดหลัก,2. การประเมินการควบคุมด้วยตนเอง,,,,,0,7,,,,,,
A2-1,กิจกรรมย่อย,2.1 การสอบทานการปฏิบัติตามกระบวนงานที่ได้จัดวางไว้ และจัดทำรายงานผลการสอบทานฯ รายงานผลการสอบทาน พร้อมข้อเสนอแนะแก่หัวหน้าหน่วยงาน,,,,,0,35,,,,,,
A2-2,กิจกรรมย่อย,"2.2 การประเมินองค์ประกอบของการควบคุมภายใน และจัดทำ ""ร่าง"" รายงานการประเมินองค์ประกอบของการควบคุมภายใน (แบบ ปค.4)",,,,,0,,,,,,,
A2-3,กิจกรรมย่อย,2.3 การประเมินความเพียงพอและประสิทธิผลของระบบการควบคุมภายใน และจัดทำรายงานผลการประเมินการควบคุมด้วยตนเอง,,,,,0,,,,,,,
A2-4,กิจกรรมย่อย,2.4 จัดทำ ร่าง รายงานการประเมินผลการควบคุมภายใน (แบบ ปค.5)  และ ร่าง รายงานการติดตามการประเมินผลการควบคุมภายใน (แบบติดตาม ปค.5),,,,,,,,,,,,
A3-0,หมวดหลัก,3. การจัดทำรายงานการควบคุมภายในของ กฟน. ประจำปี 2569,26.25,52.5,75,75,75,75,,,,,,
A3-1,กิจกรรมย่อย,"3.1 จัดทำ ""ร่าง"" รายงานการควบคุมภายใน ของ กฟน. ประจำปี 2568 เตรียมนำเสนอคณะกรรมการที่เกี่ยวข้อง ประกอบด้วย แบบ ปค.๑, แบบ ปค.๔,  แบบ ปค.๕, แบบติดตาม ปค.๕, และแบบ ปค.๖",35,70,100,100,100,100,,,,,,
A3-2,กิจกรรมย่อย,"3.2 เสนอ รายงานการควบคุมภายใน ของ กฟน. ประจำปี 2568 ที่ผ่านความเห็นชอบจากคณะผู้บริหาร ESGRC นำเสนอ ผู้ว่าการ ให้ความเห็นชอบและลงนามในแบบ ปค.๑, แบบ ปค.๔,  แบบ ปค.๕, แบบติดตาม ปค.๕, และแบบ ปค.๖",35,70,100,100,100,100,,,,,,
A3-3,กิจกรรมย่อย,3.3 จัดทำ ร่าง รายงานการควบคุมภายใน ของ กฟน. ประจำปี 2569 เตรียมนำเสนอคณะกรรมการที่เกี่ยวข้อง,,,,,0,0,,,,,,
A4-0,หมวดหลัก,4. การพัฒนาระบบการควบคุมภายในของ กฟน.,9.43,18.86,30,37.71,37.71,37.71,,,,,,
A4-1,กิจกรรมย่อย,4.1 พัฒนาการควบคุมภายใน โดยทบทวน/ปรับปรุงกระบวนงานพื้นฐาน/กระบวนงานภารกิจ ร่วมกับหน่วยงานที่เกี่ยวข้อง,15,30,45,60,60,60,,,,,,
A4-2,กิจกรรมย่อย,4.2 อบรม ให้ความรู้ ให้คำปรึกษาหน่วยงาน และกำกับติดตามการดำเนินงาน,15,30,50,60,60,60,,,,,,
A4-3,กิจกรรมย่อย,4.3 ทบทวนคู่มือการควบคุมภายใน ปี 2570 เสนอ ผวก. ทราบ,,,,,,,,,,,,
A4-4,กิจกรรมย่อย,4.4 ทบทวนนโยบายฯ จัดทำแผนการจัดวางระบบการควบคุมภายในและการประเมินการควบคุมด้วยตนเอง ประจำปี 2570 และนำเสนอขอความเห็นชอบ,,,,,,,,,,,,
